Submitted_Headline_1,Prefill_Suggested_Headline_1,Suggested_Headline_1_Option1,Suggested_Headline_1_Option2,Suggested_Headline_1_Option3,Submitted_Headline_2,Prefill_Suggested_Headline_2,Suggested_Headline_2_Option1,Suggested_Headline_2_Option2,Suggested_Headline_2_Option3,Submitted_Description,Prefill_Suggested_Description,Suggested_Description_Option1,Suggested_Description_Option2,Suggested_Description_Option3,Submitted_Path_1,Prefill_Suggested_Path_1,Suggested_Path_1_Option1,Suggested_Path_1_Option2,Suggested_Path_1_Option3,Submitted_Path_2,Prefill_Suggested_Path_2,Suggested_Path_2_Option1,Suggested_Path_2_Option2,Suggested_Path_2_Option3,Submitted_Status,Submitted_Time,Submitted_Writer
""Apex Developers You Need"",""Top Rated Apex Developers"",""Hire Top Apex Developers"",""Top Rated Apex Developers"",""How It Works"",""Freelancers around the Globe"",""How It Works"",""Hire Top Apex Developers"",""Top Rated Apex Developers"",""How It Works"",""Post a Job So We can Match You with the Right Freelancers. Start Today!"",""Find The Perfect Apex Developers For Your Project"",""Find The Perfect Apex Developers For Your Project"",""Hire Top Apex Developers"",""Upwork - Top Rated Apex Developers"",""Apex"",""Apex_Developer"",""Apex_Developer"",""NULL"",""Find"",""Developers"",""Hire"",""Apex_Developer"",""NULL"",""Find"",PendingInternalReview1,"2018-03-06 18:23:40",patricia.ogbinar
""Looking for a Web Designer?"",""How It Works"",""Find Website Designers"",""How It Works"",""Upwork - The Top 1% Of Website Designers"",""Get Started on Upwork"",""Upwork - The Top 1% Of Website Designers"",""Find Website Designers"",""How It Works"",""Upwork - The Top 1% Of Website Designers"",""Find Website Designers in the United States or Anywhere. View Their Profiles!"",""Find Website Designers"",""Find Website Designers"",""Find The Perfect Designers For Your Project"",""Upwork - The Top 1% Of Website Designers"",""Website"",""NULL"",""Find_Website"",""NULL"",""Find"",""Designer"",""Find"",""Find_Website"",""NULL"",""Find"",PendingInternalReview1,"2018-03-06 18:22:00",patricia.ogbinar
""Hire the Top 1% of Designers"",""Find Top Designers"",""Find Top Designers"",""How It Works"",""The Top 1% Of Designers"",""Developers, Designers & More"",""How It Works"",""Find Top Designers"",""How It Works"",""The Top 1% Of Designers"",""Find the Top Web Designers and Other Talented Freelancers on Upwork. Start Now!"",""Find The Perfect Designers For Your Project"",""Find The Perfect Designers For Your Project"",""Find Top Designers"",""Upwork - The Top 1% Of Designers"",""Find"",""Find_Designer"",""Find_Designer"",""NULL"",""Find"",""Designers"",""Hire"",""Find_Designer"",""NULL"",""Find"",PendingInternalReview1,"2018-03-06 18:21:20",devon.gray
""Hire Computer Animators"",""How It Works"",""Hire Computer Animators"",""How It Works"",""Hire The Right Freelancer."",""Sign Up to Get Project Quotes"",""Create A Free Account"",""Hire Computer Animators"",""How It Works"",""Hire The Right Freelancer."",""At Upwork You can Find a Freelancer's Work History & Projected Cost. Hire Now!"",""Hire Computer Animators"",""Hire Computer Animators"",""Get More Done With Top‑Quality Freelancers"",""Upwork - Hire The Right Freelancer."",""Computer"",""Work"",""Computer"",""NULL"",""Find"",""Animator"",""Computer"",""Computer"",""NULL"",""Find"",PendingInternalReview1,"2018-03-06 18:19:01",devon.gray
""Website Freelancers for Hire"",""Top Rated Website Freelancers"",""Hire Website Freelancers"",""Top Rated Website Freelancers"",""How It Works"",""Hire Industry Top Talent Today"",""How It Works"",""Hire Website Freelancers"",""Top Rated Website Freelancers"",""How It Works"",""Get Projects Done with the Help of Skilled Freelancers at Upwork. Start Looking!"",""Hire Website Freelancers"",""Hire Website Freelancers"",""Upwork - Top Rated Website Freelancers"",""Top Rated Website Freelancers"",""Website"",""Find"",""Website"",""NULL"",""Find"",""Freelancer"",""Hire"",""Website"",""NULL"",""Find"",PendingInternalReview1,"2018-03-06 18:15:48",devon.gray
""Hire Photo Manipulators"",""Hire Photo Manipulators"",""Hire Photo Manipulators"",""How It Works"",""Hire Top Rated Freelancers"",""Get Perfect Match for Your Job"",""How It Works"",""Hire Photo Manipulators"",""How It Works"",""Hire Top Rated Freelancers"",""If Your Team is Need of a Photo Freelancer, Upwork is Here to Help. Search Now!"",""Work With Someone Perfect For Your Team"",""Hire Photo Manipulators"",""Hire Top Rated Freelancers - Upwork"",""Hire Top Rated Freelancers"",""Photo"",""Photo"",""Photo"",""NULL"",""How It Works"",""Freelancer"",""NULL"",""Photo"",""NULL"",""How It Works"",PendingInternalReview1,"2018-03-06 18:13:14",devon.gray
""Top Rated Contract Engineers"",""Top Rated Contract Engineers"",""Hire Contract Engineers"",""Top Rated Contract Engineers"",""How It Works"",""Hire High-Quality Engineers"",""How It Works"",""Hire Contract Engineers"",""Top Rated Contract Engineers"",""How It Works"",""Need a Programmer or Developer? Upwork Has a Unique Pool of Engineers Ready."",""Hire Contract Engineers"",""Hire Contract Engineers"",""Upwork - Top Rated Contract Engineers"",""Top Rated Contract Engineers"",""Engineers"",""Work"",""Contract"",""NULL"",""Find"",""Contract"",""Hire"",""Contract"",""NULL"",""Find"",PendingInternalReview1,"2018-03-06 18:07:36",devon.gray
""A Saisir Occasion Fiat Tipo"",""Van Belgique Occasion"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Site N.1 en Belgique"",""Annonces Populaires"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Découvrez la Grande Sélection de Véhicules D'Occasion en Belgique 2ememain.be!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Apple Iphone 6 16Gb Gold / Noir / Silver + Garantie"",""Fiat"",""Fiat_Tipo"",""Fiat_Tipo"",""NULL"",""Autos"",""Tipo"",""Autos"",""Fiat_Tipo"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:59:09",amalia.mucciacito
""Vente Fiat Sedici Occasion"",""Annonces Populaires"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Site Leader Belgique"",""Recherches Fréquentes"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Vente Véhicules D'Occasion sur 2ememain.be - le Plus Grand Choix de la Région!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Rachat Tout Vehicules Sans Controle 0497 17 73 46"",""Fiat"",""Fiat_Sedici"",""Fiat_Sedici"",""NULL"",""Autos"",""Sedici"",""Autos"",""Fiat_Sedici"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:57:08",amalia.mucciacito
""Fiat Multipla Seconde Main"",""Recherches Fréquentes"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Site Leader Belgique 2ememain"",""Achat 2ememain Van"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Des Centaines D'Annonces de Véhicules D'Occasion Vous Attendent Chaque Jour!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Lift Service Déménagement ,Lift Tractable,Lift Électrique"",""Fiat"",""Fiat_Multipla"",""Fiat_Multipla"",""NULL"",""Autos"",""Multipla"",""Autos"",""Fiat_Multipla"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:55:52",amalia.mucciacito
